,id,submitDate,flag,Xnum_1,Xnum_2,Xnum_3,Xnum_4,Xnum_5,Xcat_1
30,00031,2025-02-01 00:00:00+00:00,0.0,399.9734589721512,2.0,1.0,0.0,3.0,yes
31,00032,2025-01-01 00:00:00+00:00,0.0,323.6692665964829,1.0,1.0,3912.0,,yes
32,00033,2025-01-01 00:00:00+00:00,0.0,303.339752945137,2.0,0.75,0.0,,yes
33,00034,2025-01-01 00:00:00+00:00,0.0,276.4278983630595,2.0,0.0,991.0,1.0,yes
34,00035,2025-02-01 00:00:00+00:00,0.0,287.8479213995943,1.0,0.9166666666666666,14.0,0.0,yes
35,00036,2025-01-01 00:00:00+00:00,0.0,311.7863807888886,1.0,1.0,0.0,3.0,yes
36,00037,2025-02-01 00:00:00+00:00,0.0,344.8865514439141,1.0,0.1666666666666666,6068.0,5.0,yes
37,00038,2025-02-01 00:00:00+00:00,0.0,301.48290143271385,1.0,0.0833333333333333,1.0,,no
38,00039,2025-01-01 00:00:00+00:00,0.0,263.90286333599295,1.0,0.4166666666666667,87.0,,yes
39,00040,2025-01-01 00:00:00+00:00,0.0,341.94809655547425,1.0,1.0,1312.0,1.0,yes
40,00041,2025-01-01 00:00:00+00:00,0.0,346.91831236391295,1.0,0.4166666666666667,0.0,0.0,yes
41,00042,2025-01-01 00:00:00+00:00,1.0,286.21647387680576,2.0,0.0833333333333333,-99.0,1.0,yes
42,00043,2025-02-01 00:00:00+00:00,0.0,291.57313239430164,1.0,0.0833333333333333,-99.0,,yes
43,00044,2025-01-01 00:00:00+00:00,0.0,308.24718432440943,1.0,0.4166666666666667,922.0,,yes
44,00045,2025-01-01 00:00:00+00:00,1.0,294.470037561129,1.0,0.0,187.0,4.0,yes
45,00046,2025-02-01 00:00:00+00:00,0.0,300.0,0.0,0.9166666666666666,0.0,1.0,yes
46,00047,2025-01-01 00:00:00+00:00,0.0,379.8307765115269,1.0,1.0,0.0,,yes
47,00048,2025-01-01 00:00:00+00:00,0.0,278.60433898221794,1.0,0.6666666666666666,0.0,3.0,yes
48,00049,2025-02-01 00:00:00+00:00,0.0,309.987386069244,1.0,1.0,1733.0,0.0,yes
49,00050,2025-02-01 00:00:00+00:00,0.0,291.10547804080073,1.0,0.4166666666666667,188.0,0.0,yes
50,00051,2025-02-01 00:00:00+00:00,0.0,295.1854796653609,2.0,1.0,0.0,,yes
51,00052,2025-02-01 00:00:00+00:00,1.0,-99.0,-99.0,0.1666666666666666,245.0,-999.0,yes
52,00053,2025-01-01 00:00:00+00:00,0.0,289.24893299202563,1.0,0.8333333333333334,1.0,,yes
53,00054,2025-02-01 00:00:00+00:00,0.0,272.34543421368704,1.0,1.0,60.0,-999.0,yes
54,00055,2025-01-01 00:00:00+00:00,0.0,258.60767925494054,1.0,0.5,278.0,,yes
55,00056,2025-01-01 00:00:00+00:00,1.0,345.39669257556767,1.0,1.0,0.0,,yes
56,00057,2025-01-01 00:00:00+00:00,0.0,297.03613801389446,1.0,0.9166666666666666,13.0,,yes
57,00058,2025-01-01 00:00:00+00:00,0.0,288.2911097491985,1.0,1.0,874.0,0.0,yes
58,00059,2025-01-01 00:00:00+00:00,0.0,300.0,0.0,0.9166666666666666,949.0,15.0,no
59,00060,2025-01-01 00:00:00+00:00,0.0,-99.0,-99.0,0.6666666666666666,71.0,-999.0,yes
60,00061,2025-02-01 00:00:00+00:00,0.0,315.19514960978574,1.0,0.6666666666666666,7.0,2.0,yes
61,00062,2025-01-01 00:00:00+00:00,0.0,352.167851203727,2.0,1.0,0.0,2.0,yes
62,00063,2025-01-01 00:00:00+00:00,0.0,310.0234394596276,1.0,1.0,-99.0,,yes
63,00064,2025-01-01 00:00:00+00:00,0.0,317.02865541568224,1.0,1.0,0.0,-999.0,yes
64,00065,2025-01-01 00:00:00+00:00,0.0,282.8089266907736,2.0,0.3333333333333333,1823.0,4.0,yes
65,00066,2025-02-01 00:00:00+00:00,0.0,280.85325930259955,1.0,0.3333333333333333,-99.0,,yes
66,00067,2025-01-01 00:00:00+00:00,0.0,303.68282929645164,1.0,1.0,4996.0,9.0,yes
67,00068,2025-01-01 00:00:00+00:00,0.0,280.05511809046465,1.0,0.0833333333333333,1063.0,3.0,yes
68,00069,2025-02-01 00:00:00+00:00,0.0,375.03814929385726,1.0,1.0,0.0,,yes
69,00070,2025-02-01 00:00:00+00:00,0.0,281.58838722842205,1.0,0.8333333333333334,0.0,3.0,yes
70,00071,2025-02-01 00:00:00+00:00,0.0,316.2281915095531,1.0,1.0,1496.0,0.0,yes
71,00072,2025-01-01 00:00:00+00:00,0.0,302.54584665420185,1.0,0.0,1298.0,2.0,yes
72,00073,2025-02-01 00:00:00+00:00,1.0,237.22273316831547,2.0,0.1666666666666666,1640.0,,yes
73,00074,2025-01-01 00:00:00+00:00,0.0,306.1279772055119,1.0,0.9166666666666666,-99.0,1.0,yes
74,00075,2025-01-01 00:00:00+00:00,1.0,274.5793457560072,2.0,0.5,2095.0,1.0,yes
75,00076,2025-01-01 00:00:00+00:00,0.0,292.62643479604725,1.0,0.5,129.0,,yes
76,00077,2025-02-01 00:00:00+00:00,0.0,294.72136425753865,1.0,0.5,2102.0,,no
77,00078,2025-02-01 00:00:00+00:00,0.0,313.1880304441537,3.0,0.1666666666666666,217.0,,yes
78,00079,2025-01-01 00:00:00+00:00,1.0,331.8850076841348,2.0,1.0,-99.0,,no
79,00080,2025-01-01 00:00:00+00:00,0.0,332.41769376751887,1.0,0.4166666666666667,25.0,-999.0,yes
80,00081,2025-01-01 00:00:00+00:00,0.0,286.37364805261257,1.0,0.0,2414.0,3.0,yes
81,00082,2025-01-01 00:00:00+00:00,0.0,315.3800874285436,1.0,0.25,12.0,0.0,yes
82,00083,2025-01-01 00:00:00+00:00,0.0,285.14533168149643,1.0,1.0,0.0,,yes
83,00084,2025-01-01 00:00:00+00:00,0.0,300.0,0.0,0.6666666666666666,11.0,-999.0,yes
84,00085,2025-01-01 00:00:00+00:00,1.0,307.653944866798,2.0,0.6666666666666666,2298.0,,yes
85,00086,2025-02-01 00:00:00+00:00,0.0,314.4909129378615,2.0,0.6666666666666666,-99.0,,yes
86,00087,2025-01-01 00:00:00+00:00,1.0,270.88352660560344,3.0,-99.0,-99.0,,yes
87,00088,2025-02-01 00:00:00+00:00,0.0,280.86836099088526,1.0,0.8333333333333334,979.0,3.0,yes
88,00089,2025-01-01 00:00:00+00:00,0.0,280.1908959506438,0.0,1.0,2249.0,,yes
89,00090,2025-01-01 00:00:00+00:00,0.0,312.31121846076445,3.0,0.9166666666666666,0.0,-999.0,yes
90,00091,2025-01-01 00:00:00+00:00,0.0,277.57518616396845,2.0,0.3333333333333333,952.0,0.0,yes
91,00092,2025-02-01 00:00:00+00:00,1.0,304.33791950981987,0.0,1.0,4471.0,0.0,yes
92,00093,2025-02-01 00:00:00+00:00,0.0,288.7300175797837,1.0,0.9166666666666666,0.0,0.0,yes
93,00094,2025-01-01 00:00:00+00:00,1.0,290.0483525801541,1.0,0.4166666666666667,-99.0,-999.0,no
94,00095,2025-01-01 00:00:00+00:00,1.0,287.1676167389523,2.0,0.8333333333333334,48.0,,yes
95,00096,2025-02-01 00:00:00+00:00,0.0,278.87284975832745,1.0,0.9166666666666666,0.0,,yes
96,00097,2025-01-01 00:00:00+00:00,0.0,324.31798131790646,1.0,1.0,0.0,-999.0,yes
97,00098,2025-01-01 00:00:00+00:00,0.0,296.3115385985843,1.0,1.0,0.0,,yes
98,00099,2025-01-01 00:00:00+00:00,0.0,295.7285338291046,1.0,0.5,-99.0,-999.0,yes
99,00100,2025-02-01 00:00:00+00:00,0.0,290.65396497776374,1.0,0.1666666666666666,0.0,,yes
100,00101,2025-02-01 00:00:00+00:00,0.0,284.1853269486978,1.0,0.0,25.0,-999.0,yes
101,00102,2025-01-01 00:00:00+00:00,0.0,297.6455929911692,1.0,0.5833333333333334,-99.0,,yes
102,00103,2025-01-01 00:00:00+00:00,0.0,289.12912204745845,2.0,0.0833333333333333,528.0,,checking
103,00104,2025-02-01 00:00:00+00:00,0.0,291.844895817515,1.0,0.0833333333333333,542.0,0.0,yes
104,00105,2025-01-01 00:00:00+00:00,0.0,267.39121686415626,1.0,0.9166666666666666,0.0,,yes
105,00106,2025-01-01 00:00:00+00:00,0.0,285.17605719991064,2.0,1.0,1487.0,0.0,yes
106,00107,2025-02-01 00:00:00+00:00,0.0,292.2727118731329,2.0,0.8333333333333334,2298.0,7.0,yes
107,00108,2025-01-01 00:00:00+00:00,0.0,283.7673222241383,1.0,0.75,31.0,-999.0,yes
108,00109,2025-01-01 00:00:00+00:00,0.0,278.424696495586,3.0,0.0,3612.0,0.0,yes
109,00110,2025-01-01 00:00:00+00:00,0.0,310.5361721725787,1.0,0.1666666666666666,2356.0,-999.0,yes
110,00111,2025-01-01 00:00:00+00:00,1.0,311.5106482668466,0.0,1.0,-99.0,1.0,yes
111,00112,2025-01-01 00:00:00+00:00,0.0,292.424490143278,1.0,0.6666666666666666,0.0,,yes
112,00113,2025-01-01 00:00:00+00:00,0.0,-99.0,-99.0,0.75,0.0,,yes
113,00114,2025-01-01 00:00:00+00:00,0.0,229.1219503253737,1.0,0.6666666666666666,-99.0,0.0,yes
114,00115,2025-02-01 00:00:00+00:00,0.0,314.7145860269692,1.0,0.75,-99.0,-999.0,yes
115,00116,2025-01-01 00:00:00+00:00,0.0,318.94346036695754,1.0,1.0,0.0,2.0,yes
116,00117,2025-01-01 00:00:00+00:00,0.0,299.54371761101066,1.0,0.9,-99.0,1.0,yes
117,00118,2025-01-01 00:00:00+00:00,0.0,223.8174043316714,2.0,0.8333333333333334,0.0,3.0,yes
118,00119,2025-01-01 00:00:00+00:00,0.0,299.58679060745686,1.0,0.4166666666666667,-99.0,,yes
119,00120,2025-01-01 00:00:00+00:00,0.0,291.08754982774155,1.0,1.0,120.0,-999.0,yes
120,00121,2025-01-01 00:00:00+00:00,0.0,327.8040357096944,1.0,0.8333333333333334,11.0,0.0,yes
121,00122,2025-01-01 00:00:00+00:00,0.0,333.31355089915587,2.0,0.9166666666666666,3114.0,-999.0,yes
122,00123,2025-01-01 00:00:00+00:00,0.0,290.0296857499212,0.0,1.0,0.0,,yes
123,00124,2025-01-01 00:00:00+00:00,0.0,295.88063402094804,1.0,1.0,0.0,3.0,yes
124,00125,2025-02-01 00:00:00+00:00,0.0,294.1577953899822,0.0,0.8333333333333334,2082.0,1.0,yes
125,00126,2025-01-01 00:00:00+00:00,0.0,292.055204596732,1.0,0.4166666666666667,-99.0,,no
126,00127,2025-01-01 00:00:00+00:00,0.0,-99.0,-99.0,0.0,736.0,,yes
127,00128,2025-01-01 00:00:00+00:00,0.0,295.1017851814559,3.0,1.0,0.0,1.0,no
128,00129,2025-01-01 00:00:00+00:00,0.0,289.2502217436554,2.0,0.1666666666666666,0.0,0.0,yes
129,00130,2025-02-01 00:00:00+00:00,0.0,300.0,0.0,0.9166666666666666,0.0,4.0,yes
130,00131,2025-02-01 00:00:00+00:00,0.0,302.97523553425003,3.0,0.0,1398.0,2.0,no
131,00132,2025-01-01 00:00:00+00:00,0.0,300.0,0.0,1.0,1671.0,4.0,yes
132,00133,2025-01-01 00:00:00+00:00,0.0,303.203126638487,4.0,0.0,19.0,7.0,yes
133,00134,2025-01-01 00:00:00+00:00,0.0,273.6539053003749,1.0,0.5,56.0,,yes
134,00135,2025-01-01 00:00:00+00:00,0.0,310.21544575318376,1.0,0.1666666666666666,298.0,6.0,yes
135,00136,2025-01-01 00:00:00+00:00,0.0,303.36135411862114,1.0,1.0,0.0,-999.0,yes
136,00137,2025-01-01 00:00:00+00:00,1.0,287.70420388650234,1.0,0.9166666666666666,874.0,0.0,yes
137,00138,2025-02-01 00:00:00+00:00,0.0,309.99006015129214,1.0,1.0,4000.0,0.0,yes
138,00139,2025-02-01 00:00:00+00:00,0.0,286.6578910657012,0.0,1.0,0.0,0.0,yes
139,00140,2025-01-01 00:00:00+00:00,0.0,291.5852591785487,1.0,0.3333333333333333,321.0,1.0,yes
140,00141,2025-01-01 00:00:00+00:00,0.0,312.20931604851734,1.0,1.0,0.0,1.0,yes
141,00142,2025-01-01 00:00:00+00:00,0.0,300.0,0.0,1.0,386.0,0.0,yes
142,00143,2025-01-01 00:00:00+00:00,0.0,280.8765507379442,1.0,1.0,0.0,,yes
143,00144,2025-01-01 00:00:00+00:00,0.0,316.08680354292386,2.0,-99.0,3854.0,1.0,yes
144,00145,2025-02-01 00:00:00+00:00,0.0,263.50451898594406,2.0,1.0,0.0,3.0,no
145,00146,2025-01-01 00:00:00+00:00,0.0,318.56072989118627,1.0,0.0833333333333333,48.0,,yes
146,00147,2025-01-01 00:00:00+00:00,0.0,285.03244336892874,2.0,0.0833333333333333,82.0,0.0,no
147,00148,2025-01-01 00:00:00+00:00,0.0,344.8839155673619,1.0,0.0,344.0,,yes
148,00149,2025-01-01 00:00:00+00:00,1.0,325.5775226086697,1.0,0.4166666666666667,187.0,0.0,yes
149,00150,2025-01-01 00:00:00+00:00,0.0,291.4246656821096,2.0,1.0,167.0,,no
150,00151,2025-01-01 00:00:00+00:00,0.0,325.3998454079253,1.0,0.0,603.0,0.0,yes
151,00152,2025-01-01 00:00:00+00:00,0.0,280.85155212469766,2.0,0.6666666666666666,180.0,-999.0,yes
152,00153,2025-01-01 00:00:00+00:00,0.0,333.291663915403,1.0,1.0,6316.0,-999.0,yes
153,00154,2025-01-01 00:00:00+00:00,0.0,320.5024648473416,1.0,1.0,0.0,,yes
154,00155,2025-01-01 00:00:00+00:00,0.0,292.6346262576326,2.0,0.5,62.0,1.0,yes
155,00156,2025-01-01 00:00:00+00:00,0.0,300.0,0.0,1.0,2254.0,0.0,yes
156,00157,2025-01-01 00:00:00+00:00,0.0,-99.0,-99.0,1.0,0.0,,yes
157,00158,2025-02-01 00:00:00+00:00,0.0,292.9750528051839,1.0,0.75,901.0,,no
158,00159,2025-01-01 00:00:00+00:00,0.0,295.10753960602284,1.0,1.0,0.0,,yes
159,00160,2025-01-01 00:00:00+00:00,0.0,290.26445272782314,2.0,1.0,0.0,,yes
160,00161,2025-01-01 00:00:00+00:00,0.0,272.2096286112392,1.0,0.3,238.0,0.0,yes
161,00162,2025-01-01 00:00:00+00:00,1.0,298.3185141756655,1.0,0.0,2527.0,2.0,yes
162,00163,2025-01-01 00:00:00+00:00,0.0,326.5736109896968,1.0,1.0,0.0,1.0,yes
163,00164,2025-01-01 00:00:00+00:00,0.0,340.660369737251,1.0,1.0,-99.0,3.0,yes
164,00165,2025-01-01 00:00:00+00:00,0.0,286.9717679497731,2.0,0.0833333333333333,213.0,1.0,yes
165,00166,2025-01-01 00:00:00+00:00,0.0,277.98838337785173,1.0,1.0,0.0,1.0,yes
166,00167,2025-01-01 00:00:00+00:00,0.0,286.2848195270454,1.0,1.0,1202.0,,yes
167,00168,2025-01-01 00:00:00+00:00,0.0,296.5755351678959,1.0,0.25,128.0,-999.0,yes
168,00169,2025-01-01 00:00:00+00:00,0.0,296.4125735580831,3.0,0.9166666666666666,454.0,4.0,no
169,00170,2025-01-01 00:00:00+00:00,0.0,299.9847483995528,0.0,0.8333333333333334,56.0,6.0,no
170,00171,2025-02-01 00:00:00+00:00,0.0,320.23314293504865,1.0,0.6666666666666666,0.0,,yes
171,00172,2025-01-01 00:00:00+00:00,0.0,-99.0,-99.0,0.8333333333333334,23.0,,yes
172,00173,2025-01-01 00:00:00+00:00,0.0,291.63825709052554,3.0,1.0,-99.0,,yes
173,00174,2025-01-01 00:00:00+00:00,0.0,289.7927646661914,0.0,0.6666666666666666,245.0,-999.0,yes
174,00175,2025-01-01 00:00:00+00:00,0.0,298.00061952442024,1.0,0.9166666666666666,-99.0,1.0,yes
175,00176,2025-02-01 00:00:00+00:00,0.0,304.6776224037948,2.0,0.25,-99.0,,yes
176,00177,2025-02-01 00:00:00+00:00,0.0,284.8017711912439,1.0,0.0,348.0,,yes
177,00178,2025-02-01 00:00:00+00:00,0.0,325.59078990314936,1.0,1.0,0.0,1.0,yes
178,00179,2025-02-01 00:00:00+00:00,0.0,302.3683896439037,1.0,1.0,0.0,3.0,yes
179,00180,2025-02-01 00:00:00+00:00,0.0,287.2157099752335,2.0,1.0,0.0,0.0,no
180,00181,2025-01-01 00:00:00+00:00,0.0,303.28602924749634,1.0,0.4166666666666667,2230.0,6.0,yes
181,00182,2025-02-01 00:00:00+00:00,0.0,-99.0,-99.0,0.8333333333333334,24.0,,yes
182,00183,2025-01-01 00:00:00+00:00,0.0,279.0635022720437,3.0,1.0,0.0,-999.0,no
183,00184,2025-01-01 00:00:00+00:00,0.0,285.38549320087526,1.0,0.3333333333333333,67.0,4.0,yes
184,00185,2025-02-01 00:00:00+00:00,0.0,287.9297378894147,1.0,0.8333333333333334,4351.0,1.0,yes
185,00186,2025-01-01 00:00:00+00:00,0.0,290.8477979892716,1.0,0.3333333333333333,1210.0,,yes
186,00187,2025-02-01 00:00:00+00:00,1.0,291.9875449814801,2.0,0.0,36.0,,yes
187,00188,2025-01-01 00:00:00+00:00,0.0,306.21824660958515,1.0,0.0833333333333333,19.0,,yes
188,00189,2025-02-01 00:00:00+00:00,1.0,283.90880391205474,2.0,0.8333333333333334,13.0,,yes
189,00190,2025-01-01 00:00:00+00:00,1.0,-99.0,-99.0,1.0,128.0,-999.0,yes
190,00191,2025-01-01 00:00:00+00:00,0.0,-99.0,-99.0,1.0,0.0,-999.0,yes
191,00192,2025-01-01 00:00:00+00:00,0.0,298.9956586684039,2.0,0.5,398.0,0.0,yes
192,00193,2025-01-01 00:00:00+00:00,0.0,325.8667876743489,1.0,1.0,0.0,0.0,no
193,00194,2025-01-01 00:00:00+00:00,0.0,311.3681745615556,1.0,1.0,1462.0,,yes
194,00195,2025-01-01 00:00:00+00:00,0.0,283.08797977942174,1.0,0.5833333333333334,549.0,0.0,yes
195,00196,2025-01-01 00:00:00+00:00,0.0,326.5068230316595,1.0,1.0,0.0,-999.0,yes
196,00197,2025-01-01 00:00:00+00:00,1.0,262.092887099635,1.0,0.1666666666666666,1.0,-999.0,yes
197,00198,2025-01-01 00:00:00+00:00,1.0,318.193422564823,2.0,0.6666666666666666,1384.0,,yes
198,00199,2025-01-01 00:00:00+00:00,0.0,358.5558462147614,1.0,0.0833333333333333,180.0,,yes
199,00200,2025-02-01 00:00:00+00:00,0.0,301.6932484282597,1.0,0.9166666666666666,24.0,0.0,yes
200,00201,2025-01-01 00:00:00+00:00,0.0,350.83192168143233,1.0,0.0,1364.0,,no
201,00202,2025-02-01 00:00:00+00:00,0.0,299.37474681427943,1.0,1.0,4796.0,0.0,yes
202,00203,2025-01-01 00:00:00+00:00,0.0,302.18930270364774,1.0,0.3333333333333333,20.0,2.0,yes
203,00204,2025-01-01 00:00:00+00:00,0.0,310.1349892553743,1.0,0.0,1984.0,1.0,yes
204,00205,2025-01-01 00:00:00+00:00,0.0,290.87419873927774,2.0,1.0,2158.0,2.0,yes
205,00206,2025-01-01 00:00:00+00:00,0.0,291.3135746701924,2.0,0.3333333333333333,-99.0,-999.0,no
206,00207,2025-01-01 00:00:00+00:00,1.0,292.7798367574955,1.0,0.25,171.0,0.0,yes
207,00208,2025-02-01 00:00:00+00:00,0.0,301.2628771781688,1.0,0.0,478.0,,yes
208,00209,2025-01-01 00:00:00+00:00,0.0,280.87427193776057,1.0,0.25,1399.0,0.0,yes
209,00210,2025-01-01 00:00:00+00:00,0.0,280.4794743896127,0.0,1.0,29.0,-999.0,yes
210,00211,2025-02-01 00:00:00+00:00,0.0,295.7074950488848,1.0,0.3333333333333333,125.0,5.0,yes
211,00212,2025-02-01 00:00:00+00:00,0.0,312.47071442519456,1.0,-99.0,995.0,0.0,yes
212,00213,2025-01-01 00:00:00+00:00,1.0,300.0,0.0,0.6666666666666666,7.0,11.0,yes
213,00214,2025-02-01 00:00:00+00:00,0.0,291.1295905964344,1.0,1.0,0.0,,yes
214,00215,2025-01-01 00:00:00+00:00,0.0,279.25580060602647,1.0,0.8333333333333334,640.0,-999.0,yes
215,00216,2025-01-01 00:00:00+00:00,0.0,362.2784500318407,1.0,0.6666666666666666,0.0,,yes
216,00217,2025-01-01 00:00:00+00:00,0.0,320.83149816831224,1.0,0.0,180.0,,yes
217,00218,2025-01-01 00:00:00+00:00,0.0,-99.0,-99.0,0.6666666666666666,34.0,,yes
218,00219,2025-02-01 00:00:00+00:00,0.0,322.21064803562746,2.0,0.0833333333333333,3389.0,-999.0,yes
219,00220,2025-02-01 00:00:00+00:00,0.0,288.1422808586519,1.0,0.4166666666666667,23.0,0.0,yes
220,00221,2025-01-01 00:00:00+00:00,0.0,316.2245930485341,1.0,0.0,0.0,,yes
221,00222,2025-01-01 00:00:00+00:00,0.0,349.02424012124374,2.0,1.0,180.0,,yes
222,00223,2025-02-01 00:00:00+00:00,0.0,281.6732923149248,1.0,0.3333333333333333,-99.0,,yes
223,00224,2025-01-01 00:00:00+00:00,0.0,328.4971710636001,3.0,0.8333333333333334,22.0,-999.0,yes
224,00225,2025-01-01 00:00:00+00:00,0.0,269.8026223934077,1.0,0.9166666666666666,0.0,,yes
225,00226,2025-01-01 00:00:00+00:00,0.0,300.0,0.0,1.0,0.0,-999.0,no
226,00227,2025-01-01 00:00:00+00:00,0.0,-99.0,-99.0,0.25,0.0,,yes
227,00228,2025-01-01 00:00:00+00:00,0.0,270.9022808095268,1.0,0.0833333333333333,0.0,,yes
228,00229,2025-02-01 00:00:00+00:00,1.0,276.91392310118937,2.0,0.8333333333333334,0.0,3.0,yes
229,00230,2025-01-01 00:00:00+00:00,0.0,311.4195864854393,1.0,0.6666666666666666,0.0,-999.0,yes
230,00231,2025-01-01 00:00:00+00:00,0.0,308.20528064918733,1.0,1.0,0.0,4.0,yes
231,00232,2025-02-01 00:00:00+00:00,0.0,312.1506603001366,1.0,1.0,0.0,0.0,yes
232,00233,2025-01-01 00:00:00+00:00,0.0,297.84949807854724,1.0,0.0,55.0,8.0,yes
233,00234,2025-01-01 00:00:00+00:00,0.0,272.15148113022764,2.0,0.0,1101.0,,yes
234,00235,2025-02-01 00:00:00+00:00,0.0,265.4033365987177,1.0,1.0,211.0,0.0,yes
235,00236,2025-01-01 00:00:00+00:00,0.0,303.5724070597587,1.0,0.9166666666666666,31.0,9.0,no
236,00237,2025-01-01 00:00:00+00:00,1.0,307.07474717233885,1.0,0.0,-99.0,0.0,yes
237,00238,2025-01-01 00:00:00+00:00,0.0,271.8849643354126,1.0,1.0,820.0,-999.0,yes
238,00239,2025-01-01 00:00:00+00:00,0.0,314.4029080741102,1.0,0.3333333333333333,116.0,0.0,yes
239,00240,2025-01-01 00:00:00+00:00,0.0,281.9301678014376,1.0,1.0,0.0,,yes
240,00241,2025-02-01 00:00:00+00:00,0.0,-99.0,-99.0,0.0,-99.0,,yes
241,00242,2025-01-01 00:00:00+00:00,0.0,244.68513822457555,2.0,0.8333333333333334,0.0,1.0,yes
242,00243,2025-01-01 00:00:00+00:00,0.0,308.8399632635521,2.0,0.0,-99.0,0.0,yes
243,00244,2025-01-01 00:00:00+00:00,0.0,282.8019601052126,1.0,0.6666666666666666,5.0,-999.0,yes
244,00245,2025-01-01 00:00:00+00:00,0.0,399.0670254010475,1.0,0.6666666666666666,0.0,-999.0,yes
245,00246,2025-02-01 00:00:00+00:00,0.0,-99.0,-99.0,1.0,477.0,,yes
246,00247,2025-02-01 00:00:00+00:00,0.0,320.3512410784895,1.0,1.0,0.0,,yes
247,00248,2025-01-01 00:00:00+00:00,0.0,309.2688919406444,2.0,1.0,0.0,0.0,yes
248,00249,2025-01-01 00:00:00+00:00,0.0,370.725861272186,1.0,1.0,0.0,,yes
249,00250,2025-01-01 00:00:00+00:00,0.0,291.03874622485785,1.0,0.9166666666666666,4036.0,,yes
250,00251,2025-02-01 00:00:00+00:00,0.0,303.93190079968207,1.0,-99.0,-99.0,,no
251,00252,2025-02-01 00:00:00+00:00,0.0,300.9259148949301,1.0,0.0,471.0,2.0,yes
252,00253,2025-01-01 00:00:00+00:00,0.0,300.0,0.0,0.8333333333333334,-99.0,-999.0,yes
253,00254,2025-01-01 00:00:00+00:00,0.0,-99.0,-99.0,1.0,0.0,-999.0,yes
254,00255,2025-01-01 00:00:00+00:00,0.0,319.4419686892354,0.0,1.0,6065.0,5.0,yes
255,00256,2025-01-01 00:00:00+00:00,0.0,310.63900357013495,3.0,1.0,0.0,-999.0,yes
